id;email;mobile;degree;description;city;current_salary
1;Aracely_Mayert76@gmail.com;Ethiopian;SchoolFinal;Global Rubber;Hyderabad;82845
2;Odell_Metz@gmail.com;hack;Masters;teal;Chennai;6061
3;Shayna48@yahoo.com;orange;Bachelors;program silver Chief;Delhi;54151
4;Tyra.Shields55@gmail.com;users;PG;Tokelau;Hyderabad;79962
5;Diamond.Kassulke@gmail.com;metrics;PG;International;Bangalore;1615
6;Brooke74@yahoo.com;Synergized Baby navigating;None;deposit;Chennai;11894
7;Chaz.Rempel61@gmail.com;Shirt connect;SchoolFinal;client-server;Pune;24641
8;Orin.Breitenberg67@yahoo.com;disintermediate Savings Mouse;Masters;Ball;Chennai;79788
9;Kamron_Torphy53@yahoo.com;monitor e-tailers;SchoolFinal;Bedfordshire;Hyderabad;69432
10;Dejah_Huel49@gmail.com;Account Identity;PG;Generic;Delhi;15616
